group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
fib 20,,,,,1024000.0,ns,32
fib 20,,,,,2059400.0,ns,64
fib 20,,,,,3050500.0,ns,96
fib 20,,,,,4071000.0,ns,128
fib 20,,,,,5098700.0,ns,160
fib 20,,,,,6229200.0,ns,192
fib 20,,,,,7219700.0,ns,224
fib 20,,,,,8233200.0,ns,256
fib 20,,,,,9239700.0,ns,288
fib 20,,,,,10248100.0,ns,320
fib 20,,,,,11332900.0,ns,352
fib 20,,,,,12355700.0,ns,384
fib 20,,,,,13243900.0,ns,416
fib 20,,,,,14252700.0,ns,448
fib 20,,,,,15370400.0,ns,480
fib 20,,,,,16369700.0,ns,512
fib 20,,,,,17368800.0,ns,544
fib 20,,,,,18398200.0,ns,576
fib 20,,,,,19591900.0,ns,608
fib 20,,,,,20364600.0,ns,640
fib 20,,,,,21471200.0,ns,672
fib 20,,,,,22614000.0,ns,704
fib 20,,,,,23623300.0,ns,736
fib 20,,,,,24722800.0,ns,768
fib 20,,,,,25483300.0,ns,800
fib 20,,,,,26468400.0,ns,832
fib 20,,,,,27818800.0,ns,864
fib 20,,,,,28878500.0,ns,896
fib 20,,,,,30050500.0,ns,928
fib 20,,,,,31006000.0,ns,960
fib 20,,,,,32094400.0,ns,992
fib 20,,,,,33185000.0,ns,1024
fib 20,,,,,34224800.0,ns,1056
fib 20,,,,,35254100.0,ns,1088
fib 20,,,,,36703700.0,ns,1120
fib 20,,,,,35512200.0,ns,1152
fib 20,,,,,36374900.0,ns,1184
fib 20,,,,,37463600.0,ns,1216
fib 20,,,,,38425900.0,ns,1248
fib 20,,,,,39347000.0,ns,1280
fib 20,,,,,40401700.0,ns,1312
fib 20,,,,,41640400.0,ns,1344
fib 20,,,,,42769900.0,ns,1376
fib 20,,,,,43785800.0,ns,1408
fib 20,,,,,44828100.0,ns,1440
fib 20,,,,,45755000.0,ns,1472
fib 20,,,,,46642000.0,ns,1504
fib 20,,,,,47740700.0,ns,1536
fib 20,,,,,49478600.0,ns,1568
fib 20,,,,,50910600.0,ns,1600
fib 20,,,,,51931900.0,ns,1632
fib 20,,,,,53035800.0,ns,1664
fib 20,,,,,54297500.0,ns,1696
fib 20,,,,,55574900.0,ns,1728
fib 20,,,,,56529700.0,ns,1760
fib 20,,,,,57804300.0,ns,1792
fib 20,,,,,58861500.0,ns,1824
fib 20,,,,,59659000.0,ns,1856
fib 20,,,,,60971500.0,ns,1888
fib 20,,,,,61786800.0,ns,1920
fib 20,,,,,62686500.0,ns,1952
fib 20,,,,,63673100.0,ns,1984
fib 20,,,,,64889900.0,ns,2016
fib 20,,,,,65860400.0,ns,2048
fib 20,,,,,66893900.0,ns,2080
fib 20,,,,,67836800.0,ns,2112
fib 20,,,,,68768300.0,ns,2144
fib 20,,,,,69980200.0,ns,2176
fib 20,,,,,71045300.0,ns,2208
fib 20,,,,,72331500.0,ns,2240
fib 20,,,,,73627400.0,ns,2272
fib 20,,,,,74700000.0,ns,2304
fib 20,,,,,75533400.0,ns,2336
fib 20,,,,,76535500.0,ns,2368
fib 20,,,,,77731900.0,ns,2400
fib 20,,,,,78869500.0,ns,2432
fib 20,,,,,79879300.0,ns,2464
fib 20,,,,,80553400.0,ns,2496
fib 20,,,,,82488700.0,ns,2528
fib 20,,,,,84245100.0,ns,2560
fib 20,,,,,80662700.0,ns,2592
fib 20,,,,,81443600.0,ns,2624
fib 20,,,,,82171200.0,ns,2656
fib 20,,,,,83446500.0,ns,2688
fib 20,,,,,84536300.0,ns,2720
fib 20,,,,,86697900.0,ns,2752
fib 20,,,,,87746200.0,ns,2784
fib 20,,,,,88102200.0,ns,2816
fib 20,,,,,89328200.0,ns,2848
fib 20,,,,,89829100.0,ns,2880
fib 20,,,,,92498700.0,ns,2912
fib 20,,,,,91538800.0,ns,2944
fib 20,,,,,87361100.0,ns,2976
fib 20,,,,,83354000.0,ns,3008
fib 20,,,,,80370700.0,ns,3040
fib 20,,,,,78430400.0,ns,3072
fib 20,,,,,76286500.0,ns,3104
fib 20,,,,,74673000.0,ns,3136
fib 20,,,,,72932500.0,ns,3168
fib 20,,,,,71696200.0,ns,3200
